-2.0967 -1.9690 -0.4818
-2.0123 -2.0378 -0.5036
-1.9254 -2.1026 -0.5252
-1.8360 -2.1635 -0.5464
-1.7445 -2.2201 -0.5673
-1.6511 -2.2725 -0.5878
-1.5559 -2.3207 -0.6079
-1.4592 -2.3645 -0.6277
-1.3611 -2.4038 -0.6471
-1.2620 -2.4388 -0.6660
-1.1619 -2.4692 -0.6845
-1.0612 -2.4952 -0.7026
-0.9601 -2.5168 -0.7203
-0.8586 -2.5338 -0.7375
-0.7572 -2.5464 -0.7543
-0.6559 -2.5546 -0.7705
-0.5550 -2.5584 -0.7863
-0.4547 -2.5578 -0.8016
-0.3552 -2.5530 -0.8163
-0.2566 -2.5440 -0.8306
-0.1592 -2.5308 -0.8443
-0.0632 -2.5136 -0.8575
0.0313 -2.4925 -0.8702
0.1241 -2.4676 -0.8823
0.2151 -2.4389 -0.8938
0.3040 -2.4067 -0.9048
0.3908 -2.3709 -0.9152
0.4753 -2.3318 -0.9251
0.5573 -2.2896 -0.9343
0.6367 -2.2442 -0.9430
0.7135 -2.1960 -0.9511
0.7875 -2.1450 -0.9585
0.8586 -2.0915 -0.9654
0.9268 -2.0355 -0.9716
0.9918 -1.9772 -0.9773
1.0538 -1.9168 -0.9823
1.1125 -1.8545 -0.9867
1.1681 -1.7905 -0.9905
1.2203 -1.7248 -0.9936
1.2693 -1.6577 -0.9961
1.3149 -1.5894 -0.9980
1.3571 -1.5200 -0.9993
1.3960 -1.4497 -0.9999
1.4316 -1.3786 -0.9999
1.4638 -1.3069 -0.9993
1.4926 -1.2348 -0.9980
1.5182 -1.1625 -0.9961
1.5405 -1.0900 -0.9936
1.5597 -1.0175 -0.9905
1.5756 -0.9452 -0.9867
1.5884 -0.8732 -0.9823
1.5982 -0.8017 -0.9773
1.6050 -0.7308 -0.9716
1.6089 -0.6605 -0.9654
1.6099 -0.5911 -0.9585
1.6082 -0.5225 -0.9511
1.6039 -0.4551 -0.9430
1.5970 -0.3887 -0.9343
1.5876 -0.3236 -0.9251
1.5758 -0.2597 -0.9152
1.5618 -0.1973 -0.9048
1.5456 -0.1363 -0.8938
1.5274 -0.0768 -0.8823
1.5072 -0.0189 -0.8702
1.4851 0.0373 -0.8575
1.4613 0.0919 -0.8443
1.4358 0.1448 -0.8306
1.4089 0.1960 -0.8163
1.3805 0.2454 -0.8016
1.3507 0.2930 -0.7863
1.3198 0.3389 -0.7705
1.2877 0.3829 -0.7543
1.2546 0.4251 -0.7375
1.2206 0.4656 -0.7203
1.1857 0.5043 -0.7026
1.1501 0.5412 -0.6845
1.1138 0.5763 -0.6660
1.0769 0.6098 -0.6471
1.0395 0.6415 -0.6277
1.0017 0.6716 -0.6079
0.9635 0.7000 -0.5878
0.9250 0.7269 -0.5673
0.8863 0.7522 -0.5464
